Title	Content
"similar solutions in compressible laminar free mixingproblems ."	"similar solutions in compressible laminar free mixingproblems .there are in supersonic aerodynamics many situations ofpractical interest wherein streams of different velocities and,in general, different stagnation pressures mix with one another .in the majority of these problems the interaction between thetwo streams takes place in the presence of an axial pressuregradient .  its effect on the characteristics of the mixing mayinfluence significantly the performances of the devices whereinthe phenomena cited above occur .  a theoretical andexperimental program of research to study mixing in the presence ofaxial pressure gradients is being carried on at the polytechnicinstitute of brooklyn ."
"some structural and aerelastic considerations of highspeed flight ."	"some structural and aerelastic considerations of highspeed flight .  the dominating factors in structural design of high-speedaircraft are thermal and aeroelastic in origin .  the subjectmatter is concerned largely with a discussion of these factors andtheir interrelation with one another .  a summary is presentedof some of the analytical and experimental tools available toaeronautical engineers to meet the demands of high-speed flightupon aircraft structures .  the state of the art with respect toheat transfer from the boundary layer into the structure, modesof failure under combined load as well as thermal inputs andacrothermoelasticity is discussed .  methods of attacking andalleviating structural and aeroelastic problems of high-speedflight are summarized .  finally, some avenues of fundamentalresearch are suggested ."
"similarity laws for stressing heated wings ."	"similarity laws for stressing heated wings .  it will be shown that the differential equations for a heatedplate with large temperature gradient and for a similar plate atconstant temperature can be made the same by a propermodification of the thickness and the loading for the isothermal plate .this fact leads to the result that the stresses in the heated platecan be calculated from measured strains on the unheated plate bya series of relations, called the /similarity laws ./  theapplication of this analog theory to solid wings under aerodynamicheating is discussed in detail .  the loading on the unheated analogwing is, however, complicated and involves the novel conceptof feedback and /body force/ loading .  the problem of stressinga heated box-wing structure can be solved by the same analogmethod and is briefly discussed ."
"piston theory - a new aerodynamic tool for theaeroelastician ."	"piston theory - a new aerodynamic tool for theaeroelastician .  representative applications are described which illustrate theextent to which simplifications in the solutions of high-speedunsteady aeroelastic problems can be achieved through the use ofcertain aerodynamic techniques known collectively as /pistontheory ./  based on a physical model originally proposed byhayes and lighthill, piston theory for airfoils and finite wingshas been systematically developed by landahl, utilizingexpansions in powers of the thickness ratio and the inverse of theflight mach number m .  when contributions of orders andare negligible, the theory predicts a point-functionrelationship between the local pressure on the surface of a wing and thenormal component of fluid velocity produced by the wing'smotion .  the computation of generalized forces in aeroelasticequations, such as the flutter determinant, is then alwaysreduced to elementary integrations of the assumed modes of motion .  essentially closed-form solutions are given for the bending-torsion and control-surface flutter properties of typical sectionairfoils at high mach numbers .  these agree well with results ofmore exact theories wherever comparisons can be fairly made .moreover, they demonstrate the increasingly important influenceof thickness and profile shape as m grows larger, a discovery thatwould be almost impossible using other available aerodynamictools .  the complexity of more practical flutter analyses-e.g., onthree-dimensional wings and panels-is shown to be substantiallyreduced by piston theory .  an iterative procedure is outlined, bywhich improved flutter eigenvalues can be found through thesuccessive introduction of higher-order terms in and  .  other applications to unsteady supersonic problems arereviewed, including gust response and rapid maneuvers of elasticaircraft .  steady-state aeroelastic calculations are also discussed,but for them piston theory amounts only to a slight modificationof ackeret's formulas .  suggestions are made regarding future research based on thenew aerodynamic method, with particular emphasis on areas wherecomputational labor can be reduced with a minimum loss ofprecision .  it is pointed out that a mach number zone exists wherethermal effects are appreciable but nonlinear viscous interactionsmay be neglected, and that in this zone piston theory is the logicalway of estimating air loads when analyzing aerodynamic-thermoelastic interaction problems ."
"on two-dimensional panel flutter ."	"on two-dimensional panel flutter .  theory and experiments of the flutter of a buckled plate arediscussed .  it is shown that an increase in the initial deviationfrom flatness or a static pressure differential across the plateraises the critical value of the /reduced velocity ./  the applicability of the galerkin method to the linearizedproblem of flutter of an unbuckled plate has been questioned byseveral authors .  in this paper the flutter condition wasformulated in the form of an integral equation and solved numericallyby the method of iteration and the method of matrixapproximations, thus avoiding the constraint of assumed modes .  for aplate (with finite bending rigidity) the results confirm thosegiven by the galerkin method .  an approximate analysis of the limiting form and amplitude ofthe flutter motion for a buckled plate is presented ."
"transformation of the compressible turbulent boundarylayer ."	"transformation of the compressible turbulent boundarylayer .  the transformation of the compressible turbulent boundary-layer equations to their incompressible equivalent isdemonstrated analytically .  the transformation is essentially the sameas that for the laminar layer, first given by stewartson, exceptthat the explicit relation between the viscosity and temperatureis not required .  a key point in the analysis is the modificationof the stream function to include a mean of the fluctuatingcomponents and the postulate that the apparent turbulent shear,associated with an elemental mass, remains invariant in thetransformation .  the values of the incompressible friction coefficients and ofpressure rise causing separation thus transformed show goodagreement with the experimentally measured and independentlyreported results .  an application of the transformation to theself-preserving boundary layers and to the computations ofgeneral boundary-layer flow is shown ."
"remarks on the eddy viscosity in compressible mixing flows ."	"remarks on the eddy viscosity in compressible mixing flows .in connection with a study of the wakes behind bodies in hypersonic flowcarried out for the missile and space vehicle division of the generalelectric company, it was desired to estimate the eddy viscosity inaxisymmetric, compressible wakes .  because of the lack of applicableexperimental data, it was found necessary to make such an estimate byrationally extending the few available data for incompressible flows tothe compressible case .  this suggested the application and extension ofthe transformations applied to turbulent boundary layers in referenceinfinitesimal mass are invariant with transformation, mager showed thatthe partial differential equations for the compressible turbulentboundary layer can be transformed to incompressible form .  the validity ofthis assumption and of the transformations was established for severalboundary-layer flows by comparison with experiment ."
"the flow field in the diffuser of a radial compressor ."	"the flow field in the diffuser of a radial compressor .this note discusses the two-dimensional diffuser flow fieldin a radial compressor outside the impeller wheel .  it isassumed that the diffuser has guide vanes arranged in a circularrow at a radius .  the impeller wheel has the radius (seefig. 1) .  the flow in the diffuser starts at the circle with theradius .  the velocity components, and in the r anddirections of the velocity vector on this circle are prescribedtogether with the thermal state of the gas .  the flow so prescribedon the radius will, if no disturbances are present (i.e., noboundary conditions in the flow other than zero velocity atinfinity are to be fulfilled), develop in a spiral flow ."
"an investigation of the pressure distribution on conical bodies inhypersonic flows ."	"an investigation of the pressure distribution on conical bodies inhypersonic flows .a large amount of work on conical flow fields without axial symmetryat supersonic speed is presently available .  however, no apparenthypersonic approximation has yet been derived .  in this note,experimental data on two elliptical cones at m = 6 are presented and ahypersonic approach obtained from physical considerations is suggested ."
"generalised-newtonian theory ."	"generalised-newtonian theory .  author generalizes lees's (amr 10(1957), rev. 2601)modification of newtonian theory for blunt-nose bodies to apply to pointed-nose bodies as well .  the result is expressed bysin where is the local inclination of the bodysurface and the subscript /max/ refers to the maximum localinclination and pressure coefficient .  for blunt-nose bodiesand the generalized theory reverts to lees's blunt-nosemodification with given by normal shock relations .  author shows,by comparison of newtonian and generalized-newtonian theorywith exact solutions, the superiority of generalized-newtoniantheory .  he also shows that both two-dimensional andaxisymmetric shapes are correlated by this generalization .  results arepresented in two figures that support author's generalization andindicate the independence of the correlation from variations inboth the hypersonic similarity parameter k = m(d1) and the ratioof specific heats y .  reviewer believes this generalization should be of interest tothose engaged in development of hypersonic hardware as well astheory ."
"on heat transfer in slip flow ."	"on heat transfer in slip flow .a number of authors have considered the effect of slip on the heattransfer and skin friction in a laminar boundary layer over a flat plate .reference 1 considers this by a perturbation on the usual laminarboundary-layer analysis while some other studies.dash e.g., referencethe impulsive motion of an infinite plate ."
"on slip-flow heat transfer to a flat plate ."	"on slip-flow heat transfer to a flat plate .  assuming that continuum flow energy equation in a boundarylayer remains valid well into slip region and taking account of thetemperature jump in a moving rarefied gas and for influence oflarge mean free path through appropriate boundary conditions, asolution is found for the temperature gradient in the slip region .then from maslen expression (j. aero. sci. 25, 6, 400-401, juneslipping fluid to a flat plate, and behavior confirms results forsmall values of knudsen number ."
"skin-friction and heat transfer characteristics ofa laminar boundary layer on a cylinder in axial incompressibleflow ."	"skin-friction and heat transfer characteristics ofa laminar boundary layer on a cylinder in axial incompressibleflow .  a solution is given for the case of the laminar boundary layerof an incompressible fluid of constant properties on the exteriorof a cylinder with flow parallel to the cylinder axis .  this casediffers from the blasius solution for flow along a flat plate byconsidering the effect of the curvature in a plane transverse tothe flow direction .  the local skin-friction and heat-transfercoefficients for a prandtl number of 0.715 are evaluated andcompared to the similar magnitudes for flat plate flow, and theeffect of the curvature is shown to be significant in some practicalcases .  recovery factors are evaluated, and this quantity isfound to be insensitive to the effect of curvature of the boundary ."
"theory of stagnation point heat transfer in dissociatedair ."	"theory of stagnation point heat transfer in dissociatedair .  the boundary-layer equations are developed in general for thecase of very high speed flight where the external flow is in adissociated state .  in particular the effects of diffusion and of atomrecombination in the boundary layer are included .  it is shownthat at the stagnation point the equations can be reduced exactlyto a set of nonlinear ordinary differential equations even when thechemical reactions proceed so slowly that the boundary layer isnot in thermochemical equilibrium .  two methods of numerical solution of these stagnation pointequations are presented, one for the equilibrium case and theother for the nonequilibrium case .  numerical results arecorrelated in terms of the parameters entering the numericalformulation so as not to depend critically on the physical assumptionsmade .  for the nonequilibrium boundary layer, both catalytic (toatom recombination) and noncatalytic wall surfaces areconsidered .  a solution is represented which shows the transitionfrom the /frozen/ boundary layer (very slow recombinationrates) to the equilibrium boundary layer (fast recombination rates) .a recombination rate parameter is introduced to interpret thenonequilibrium results, and it is shown that a scale factor isinvolved in relating the equilibrium state of a boundary layer onbodies of different sizes .  it is concluded that the heat transfer through the equilibriumstagnation point boundary layer can be computed accurately bya simple correlation formula and that the heattransfer is almost unaffected by a nonequilibrium state of theboundary layer provided the wall is catalytic and the lewisnumber near unity ."
"inviscid hypersonic flow over blunt-nosed slender bodies ."	"inviscid hypersonic flow over blunt-nosed slender bodies .  at hypersonic speeds the drag area of a blunt nose is muchlarger than the drag area of a slender afterbody, and the energycontained in the flow field in a plane at right angles to the flightdirection is nearly constant over a downstream distance manytimes greater than the characteristic nose dimension .  thetransverse flow field exhibits certain similarity properties directlyanalogous to the flow similarity behind an intense blast wavefound by g. i. taylor, s. c. lin, and a. sakurai .  a comparisonwith the experiments of hammitt, vas, and bogdonoff on aflat plate with a blunt leading edge at in helium showsthat the shock-wave shape is predicted very accurately by thissimilarity analysis .  the predicted surface pressure distributionis somewhat less satisfactory .  experimental results on ahemisphere-cylinder obtained at in the galcit air tunnelindicate that not only the shock-wave shape but also the surfacepressures for this body are given very closely by the similaritytheory, except near the hemisphere-cylinder junction .  energy considerations combined with a detailed study of theequations of motion show that flow similarity is also possible fora class of bodies of the form, provided that,where for a two-dimensional body and for abody of revolution .  when the shock shape is notsimilar to the body shape, and the entire flow field somedistance from the nose must depend to some extent on the detailsof the nose geometry .  by again utilizing energy and drag considerations one findsthat at hypersonic speeds the inviscid surface pressuresgenerated by a blunt leading edge are larger than the pressuresinduced by boundary-layer growth on an insulated flat surfacefor an insulated blunt-nosed slender body of revolution thecorresponding distance is given by .  (hereis free-stream reynolds number based on leading-edgethickness, or nose diameter .)  in free flight these constants arereplaced by 1,700 and 20, respectively, so that viscousinteraction effects are important over the forward portion of a blunt-nosed slender body only for relatively low values of .however, /far downstream/ of the nose the inviscid over-pressure issmall and viscous interaction phenomena will have to be takeninto account ."
"inviscid leading-edge effect in hypersonic flow ."	"inviscid leading-edge effect in hypersonic flow .current interest in the problem of inviscid-viscousinteraction has led to the realization of the significant effect ofthe leading-edge thickness in hypersonic flow .  the purposeof this note is to give an account of the downstream influenceof the blunt leading edge on the basis of the hypersonic smallperturbation theory ."
"newtonian flow theory for slender bodies ."	"newtonian flow theory for slender bodies .  as an aid to the aerodynamieist in the design of air frames forhypersonic speeds (speeds faster than about mach 5), newtonianflow theory is examined from the point of view of gas dynamicsand hypersonic small-disturbance theory .  the usual theory isshown to result as the first approximation of an expansion validfor small .  a basic similarity parameteris introduced .  a general solutionof the first approximation for the flow past slender bodies (bodieswhich cause only a small disturbance to the stream) at zero angleof attack is given .  an important condition which limits theapplication of the theory is noted-namely, that the pressurecoefficient on the surface not fall to zero .  the theory is thenapplied to cones and to bodies whose shape is ."
"a note on the explosion solution of sedov with applicationto the newtonian theory of unsteady hypersonic flow ."	"a note on the explosion solution of sedov with applicationto the newtonian theory of unsteady hypersonic flow .an exact analytical solution of the equations of inviscidcompressible unsteady flow has been given by sedov (referenceto the solution may be made through hayes and probstein) .this solution is the similarity solution for a constant-energy pointexplosion .  in view of the recent work on problems of hypersonicflow in the limiting form of the ratio of specific heats near 1solution in this limit and inquire what form such a solution wouldtake .  einbinder, in a recent note, has examined the solution forvarious but does not mention the interesting case of .it may be shown that the convergence to the limit is nonuniformover the flow field .  it is also not difficult to show that the non-uniform behavior exhibited here is that which one would expectfrom the newtonian formulation as derived in reference 3 ."
"a simple model study of transient temperature and thermalstress distribution due to aerodynamic heating ."	"a simple model study of transient temperature and thermalstress distribution due to aerodynamic heating .  the present work is concerned with the determination oftransient temperatures and thermal stresses in simple models intendedto simulate parts or the whole of an aircraft structure of the built-up variety subjected to aerodynamic heating .  the first case considered is that of convective heat transferinto one side of a flat plate, representing a thick skin, and theeffect of the resulting temperature distribution in inducingthermal stresses associated with bending restraint at the plate edges .numerical results are presented for the transient temperaturedifferentials in the plate when the environment temperature firstincreases linearly with time and then remains constant, theperiod of linear increase representing the time of acceleration ofthe aircraft .  corresponding thermal stress information ispresented .  the second case is that of the wide-flanged i-beam withconvective heat transfer into the outer faces of the flanges .  numericalresults are presented for transient temperature differentials for awide range of values of the applicable parameters and for anenvironment temperature variation as described above .corresponding thermal stresses in a beam of infinite length aredetermined .  a theoretical analysis of the stress distribution in a beamof finite length is carried out and numerical results obtained forone case .  an experimental investigation of temperatures andstresses in such a beam is described, and results are presentedwhich indicate good agreement with corresponding theoreticalresults ."
"photo-thermoelastic investigation of transient thermalstresses in a multiweb wing structure ."	"photo-thermoelastic investigation of transient thermalstresses in a multiweb wing structure .  photothermoelastic experiments were performed on a longmultiweb wing model for which a theoretical analysis is available inthe literature .  the experimental procedures utilized to simulatethe conditions prescribed in the theory are fully described .  correlation of theory and experiment in terms of dimensionlesstemperature, stress, time, and biot number revealed that thetheory predicted values higher than the experimentally observedmaximum thermal stresses at the center of the web .  detailedtemperature measurements in the flange suggested that the majorsource of this discrepancy can be traced to the one-dimensionalheat conduction analysis of the flange employed in the theory ."
"thermal buckling of supersonic wing panels ."	"thermal buckling of supersonic wing panels .  the temperature and thermal stress distributions are analyzedin multicellular supersonic wing structures .  a buckling criterionis established for the panels of cover plates subjected to thermalstresses ."
"the dynamic motion of a missile descending throughthe atmosphere ."	"the dynamic motion of a missile descending throughthe atmosphere .  a method is presented for computing rapidly, yet accurately,the dynamic motion of a ballistic-type missile descending throughthe atmosphere .  the equations of motion are separated into aset of /static/ trajectory equations (zero angle of attack) and aset of /rotational/ equations describing the oscillatory motionof the missile about its center of gravity .  a transformationallows the rotational equations to be written in a manneranalogous to the equation for an undamped oscillating spring masssystem with the mass equal to unity and a time variable springconstant .  for given initial conditions this equation can besolved to obtain the envelope of maximum angle of attack .  anadditional transformation allows the calculation of the completeoscillatory motion at any time during the trajectory as a functionof the maximum angle of attack at that time .  this solution shows that the maximum angle of attack of amissile descending through the atmosphere at relatively constantspeed is reduced even when the aerodynamic damping is neglected ."
"the prospects for magneto-aerodynamics ."	"the prospects for magneto-aerodynamics .  the equations describing the flow of an electrically conductingfluid in the presence of electric and magnetic fields are writtendown with the aid of certain simplifications appropriate toaeronautical applications .  in order to estimate the probablesignificance of magneto-aerodynamic effects, some data onconductivity of pure and /seeded/ air are first examined .dimensionless quantities representing the ratios of forces and ofcurrents are then formed and their values studied for conditionsof flight in the atmosphere .  some examples of magneto-hydrodynamic and magneto-gasdynamic effects in simple flows are given .  these includetwo cases of poiscuille flow of conducting liquids with appliedmagnetic fields and the case of quasi-one-dimensional gas flowwith applied electrical and magnetic fields .  in the last case,attractive possibilities are found for controlled acceleration ordeceleration of gas at subsonic and supersonic speeds, even inconstant-area channels .  the behavior of the flow ischaracteristically different in different regimes of mach number and flowspeed relative to certain /significant speeds/ that are dependenton the ratio of electrical to magnetic field strengths .  theseare studied, and a chart is constructed to relate the length tothe speed ratio of a maximum-acceleration constant-area channel .  it is concluded that the advantages that may accrue frommagneto-aerodynamic methods are sufficiently attractive tojustify the considerable research and engineering developmentthat will be required .  among the unsolved engineering problemsare the reduction of surface resistance of electrodes in contactwith a conducting gas, development of techniques for seeding,and provision of the required magnetic fields in flight ."
"constant-temperature magneto-gasdynamic channel flow ."	"constant-temperature magneto-gasdynamic channel flow .in the course of investigating boundary-layer flow incontinuous plasma accelerators with crossed electric andmagnetic fields, it was found advantageous to have at hand simpleclosed-form solutions for the magneto-gasdynamic flow in theduct which could serve as free-stream conditions for the boundarylayers .  nontrivial solutions of this sort are not available atpresent, and in fact, as in the work of resler and sears, thevariation of conditions along the flow axis must be obtainedthrough numerical integration .  consequently, some simple solutions of magneto-gasdynamicchannel flow were sought, possessing sufficient algebraic simplicityto serve as free-stream boundary conditions for analyticinvestigations of the boundary layer in a physically reasonable accelerator .in particular, since the cooling of the accelerator tube is likely tobe an important physical problem because of the high gastemperatures required to provide sufficient gaseous conductivity,channel flow with constant temperature appears interesting .some simple algebraic solutions for the case of a constanttemperature plasma are developed in the following paragraphs ."
"stagnation point of a blunt body in hypersonic flow ."	"stagnation point of a blunt body in hypersonic flow .  the purpose of this paper is to present a method of calculationdevised to yield all the important information on the symmetricinviscid hypersonic flow in the stagnation point region of a bluntbody .  the problem is the same as that considered by hayeswho used a slightly different approach .  it is demonstrated thathayes' results are valid in the stagnation point region and canhence be considered a basis for constructing less restrictedsolutions .  equations are presented giving velocity, pressure, detachmentdistance, and vorticity .  the values of shock detachmentdistance and body pressure coefficient are compared withexperimental data for spheres .  the pressure comparison shows thatthe results of hayes and the theory presented herein represent abetter approximation than the newtonian impact theory forhypersonic mach numbers .  in conclusion, the possibility of refinements to this analysis isdiscussed ."
"supersonic flow around blunt bodies ."	"supersonic flow around blunt bodies .the newtonian theory of impact has been shown to beuseful for pressure calculations on the forward facing partof bodies moving at high speed .  it is now a familiar practiceto use this information to calculate nonviscous velocities at thewall and then to estimate rates of heat transfer .  thisprocedure is perhaps open to question,. heat-transfer rates dependon velocity gradients which are not given by the newtoniananalysis .  nor can one obtain information on boundary-layerstability or all the body stability derivatives .  it seems,therefore, inevitable that, as design proceeds with these hypersonicmissiles, there will be a greater need for more accurateaerodynamic theories either to predict what will happen in unfamiliarflight conditions or to effect an extrapolation from a known testresult to the design condition ."
"a new technique for investigating heat transfer andsurface phenomena under hypersonic flow conditions ."	"a new technique for investigating heat transfer andsurface phenomena under hypersonic flow conditions .on the forebody of many practically interesting hypersonicvehicles, there is little interaction between the inviscidflow field and the boundary layer .  therefore, inviscid flow theorycan be used to determine, independent of surface phenomena,the physically interesting quantities such as shock shape, shockdetachment distance, sonic line shape, and pressure distribution .furthermore, the pressure distribution so determined can then beused for the study of heat transfer, materials behavior, and othersurface phenomena .  thus, for these bodies, the prandtlboundary-layer concept can be utilized for the calculation of both theinviscid flow and the boundary-layer behavior .  it is the purpose of this note to point out that this concept canalso be applied experimentally in order to provide, inconjunction with a conventional hypersonic wind-tunnel air supply, ameans for investigating hypersonic heat transfer and surfacephenomena under conditions of flight reynolds numbers ."
"on the prediction of mixed subsonic/supersonic pressuredistributions ."	"on the prediction of mixed subsonic/supersonic pressuredistributions .  high-speed wind-tunnel results are analyzed to derive asemiempirical scheme for the prediction of transonic pressuredistributions .  the supersonic and subsonic parts of the flow aretreated separately, and then linked by an empirical shockpressure rise relation .  the significance of the empirical results isconsidered in relation to the physical mechanism of transonicflows .  it is also shown that theoretical solutions can beimproved by introducing the empirical shock relation ."
"on the flow of a sonic stream past an airfoil surface ."	"on the flow of a sonic stream past an airfoil surface .  this study of the flow about an airfoil in a near-sonic streamindicates the important factors determining the pressuredistribution on the airfoil .  analysis of the mach wave patternsuggests that the supersonic domain of the flow can be derivedfrom two simple-wave flows, one arising from the mach wavesreflected at the sonic line and the other from the changes inairfoil surface slope .  the compressive effect of the reflected machwaves is determined quantitatively as a function of airfoilleading-edge geometry from an analysis of measured pressuredistributions for uncambered airfoils,. and it is shown how this canbe superimposed on the wave system from the curved surface togive an equivalent simple-wave flow over the airfoil .  an application of this scheme to the calculation of the pressuredistribution over an airfoil in a sonic stream gives results in goodagreement with experiment ."
"experiments on boundary layer transition atsupersonic speeds ."	"experiments on boundary layer transition atsupersonic speeds .  tests were conducted in the 12-in. continuous supersonic windtunnel of the jet propulsion laboratory, california institute oftechnology, to determine the effects of surface cooling onboundary-layer transition at supersonic speeds .  the effects ofcooling were investigated at test section mach numbers of 1.97,smooth cone in the presence of three levels of supply-streamturbulence (0.4, 2, and 9 per cent) and several single-elementroughnesses at fixed axial location .  transition data were obtainedoptically by means of a magnified-schlieren system .  the results,for the range of mach number investigated, indicate that (1)transition on a smooth cone can definitely be delayed by surfacecooling, (2) transition promoted by either supply-streamturbulence or surface roughness can also be delayed by surface coolingdepending upon degree of turbulence or relative roughnessrespectively, and (3) the adverse effects of increased turbulence androughness decrease with increasing mach number ."
"on transition experiments at moderate supersonic speeds ."	"on transition experiments at moderate supersonic speeds .  studies of transition over a flat plate at mach number 1.76were carried out using a hot-wire anemometer as one of theprincipal tools .  the nature and measurements of free-streamdisturbances at supersonic speeds are analyzed .  theexperimental results are interpreted in the light of present overallinformation on transition at supersonic speeds and conclusions asto further fruitful experiments are drawn ."
